|||Sütunlar||||||||||||
||2024|53.58|54.35|54.35|54.35|56.15|60.89|64.86|71.44|71.44|74.69|76.44|76.44|
||2025|78.94|88.71|90.82|96.11|97.85|97.85|100.35|101.7|107.18|112.15|113.53|114.83|
||2026|118.5||||||||||||
|0732. (Kara Yolu İle Yolcu Taşımacılığı)|2023||||||||||||52.26|
||2024|57.47|59.76|59.54|62.98|62.4|65.31|68.63|73.12|79.5|78.71|78.89|78.19|
||2025|81.78|89.47|90.4|93.86|94.71|98.74|99.72|100.39|110.06|113.07|113.99|113.81|
||2026|117.32||||||||||||
|07321. (Otobüs İle Yolcu Taşımacılığı)|2023||||||||||||54.09|
||2024|60.86|61.09|60.05|65.69|64.43|68.87|73.69|80.15|80.12|78.58|78.79|77.62|
||2025|82.09|89.0|89.88|94.9|95.8|101.77|103.22|104.1|107.52|109.76|111.22|110.75|
||2026|115.06||||||||||||
|07322. (Taksi Ve Sürücüsü İle Birlikte Kiralanmış Taşıtlarla Yolcu Taşımacılığı)|2023||||||||||||48.34|
||2024|56.74|59.51|60.03|60.09|60.97|62.83|66.39|71.32|74.69|74.79|74.92|74.93|
||2025|80.98|88.74|89.64|92.7|95.09|98.15|98.98|99.96|106.76|116.04|116.19|116.75|
||2026|119.1||||||||||||
|07323. (Okul Servisleri)|2023||||||||||||50.19|
||2024|50.46|57.05|58.25|58.52|58.73|58.79|58.73|58.71|80.53|80.96|81.09|81.08|
||2025|81.45|90.91|91.94|92.0|92.03|92.03|91.99|92.04|117.52|119.3|119.32|119.48|
||2026|119.76||||||||||||
|0733. (Hava Yolu İle Yolcu Taşımacılığı)|2023||||||||||||55.65|
||2024|72.58|61.84|61.26|72.1|76.67|79.33|79.06|111.92|108.16|93.12|94.53|68.27|
||2025|91.8|83.09|68.03|96.67|97.79|101.33|101.17|138.02|114.16|105.86|120.97|81.12|
||2026|111.04||||||||||||
|07331. (Hava Yolu İle Yurt İçi Yolcu Taşımacılığı)|2023||||||||||||55.02|
||2024|58.43|59.25|56.07|58.39|71.31|82.95|89.0|106.55|106.12|99.66|94.44|70.82|
||2025|79.17|86.16|61.98|92.18|92.14|110.1|116.83|125.88|113.14|114.12|123.86|84.45|
||2026|107.24||||||||||||
|07332. (Hava Yolu İle Yurt Dışı Yolcu Taşımacılığı)|2023||||||||||||56.55|
||2024|88.19|64.9|67.13|87.24|82.79|75.73|68.63|118.19|110.8|86.43|95.01|65.79|
||2025|104.1|80.11|73.91|101.03|103.29|92.79|85.93|149.84|115.14|97.83|118.16|77.87|
||2026|122.32||||||||||||
|0734. (Deniz Ve İç Sularda Yolcu Taşımacılığı)|2023||||||||||||44.36|
||2024|51.52|51.57|52.97|60.68|59.37|67.63|70.28|68.51|68.19|68.89|67.6|67.6|
||2025|86.29|88.63|88.63|88.85|88.8|91.22|109.2|110.52|109.74|112.23|112.92|112.97|
||2026|125.35||||||||||||
|07340. (Deniz Ve İç Sularda Yolcu Taşımacılığı)|2023||||||||||||44.36|
||2024|51.52|51.57|52.97|60.68|59.37|67.63|70.28|68.51|68.19|68.89|67.6|67.6|
||2025|86.29|88.63|88.63|88.85|88.8|91.22|109.2|110.52|109.74|112.23|112.92|112.97|
||2026|125.35||||||||||||
|074. (Posta Ve Mal Taşımacılığı Hizmetleri)|2023||||||||||||49.09|
||2024|55.98|58.41|60.57|62.19|64.48|67.15|71.8|74.49|76.37|77.23|77.8|78.06|
||2025|86.7|90.37|91.54|93.63|96.51|99.28|103.9|106.02|107.78|107.89|107.99|108.39|
||2026|111.13||||||||||||
|0741. (Posta Ve Kurye Hizmetleri)|2023||||||||||||45.46|
||2024|63.41|65.13|65.15|65.17|65.18|70.89|70.9|71.27|71.65|71.64|71.64|71.64|
||2025|98.96|99.15|99.2|99.29|100.28|100.35|100.43|100.46|100.47|100.47|100.47|100.47|
||2026|114.83||||||||||||
|07412. (Kurye Ve Paket/Koli Dağıtım Hizmetleri)|2023||||||||||||45.46|
||2024|63.41|65.13|65.15|65.17|65.18|70.89|70.9|71.27|71.65|71.64|71.64|71.64|
||2025|98.96|99.15|99.2|99.29|100.28|100.35|100.43|100.46|100.47|100.47|100.47|100.47|
||2026|114.83||||||||||||
|0749. (Diğer Mal Taşımacılığı)|2023||||||||||||50.03|
||2024|56.19|58.71|61.05|62.82|65.3|67.78|72.85|75.74|77.76|78.69|79.32|79.6|
||2025|83.76|88.26|89.71|92.28|95.61|99.02|104.74|107.35|109.53|109.66|109.79|110.28|
||2026|111.85||||||||||||
|07491. (Nakliye Ve Depolama Hizmetleri)|2023||||||||||||50.03|
||2024|56.19|58.71|61.05|62.82|65.3|67.78|72.85|75.74|77.76|78.69|79.32|79.6|
||2025|83.76|88.26|89.71|92.28|95.61|99.02|104.74|107.35|109.53|109.66|109.79|110.28|
||2026|111.88||||||||||||
|07492. (Malların Dağıtım Ücretleri (Kurye, Paket Servis Vb.))|2025||||||||||||100.0|
||2026|100.0||||||||||||
|08. (Bilgi Ve İletişim)|2023||||||||||||69.92|
||2024|73.33|75.71|79.32|81.6|81.98|82.76|85.16|85.76|85.58|88.08|89.83|91.38|
||2025|93.79|95.48|95.61|96.42|95.93|97.73|101.01|102.24|103.75|104.27|105.49|108.26|
||2026|112.63||||||||||||
|081. (Bilgi Ve İletişim Ekipmanları)|2023||||||||||||86.37|
||2024|90.57|90.76|93.99|94.67|92.13|89.44|89.19|89.22|87.53|92.52|94.81|97.11|
||2025|98.37|97.8|97.22|98.73|97.53|99.6|100.35|100.46|102.43|101.68|102.03|103.8|
||2026|106.43||||||||||||
|0812. (Mobil Telefon Ekipmanları)|2023||||||||||||89.16|
||2024|91.3|91.33|94.91|95.24|93.15|91.72|89.17|89.62|84.89|93.38|95.54|98.24|
||2025|98.1|97.42|97.15|98.95|96.8|99.54|100.51|101.46|103.99|102.99|100.89|102.19|
||2026|105.17||||||||||||
|08120. (Mobil Telefon Ve Ekipmanları)|2023||||||||||||89.16|
||2024|91.3|91.33|94.91|95.24|93.15|91.72|89.17|89.62|84.89|93.38|95.54|98.24|
||2025|98.1|97.42|97.15|98.95|96.8|99.54|100.51|101.46|103.99|102.99|100.89|102.19|
||2026|105.17||||||||||||
|0813. (Bilgi İşleme Ekipmanları)|2023||||||||||||83.88|
||2024|90.48|86.57|92.52|87.81|86.65|84.03|88.8|86.25|91.23|95.05|95.85|98.1|
||2025|99.61|98.1|99.56|99.24|96.16|93.14|95.61|98.9|105.85|106.77|105.24|101.8|
||2026|105.24||||||||||||
|08131. (Bilgisayarlar, Diz Üstü Bilsayarlar Ve Tablet Bilgisayarlar)|2023||||||||||||91.94|
||2024|99.87|93.89|100.71|94.17|92.82|89.18|95.85|92.0|92.24|96.07|97.06|99.15|
||2025|101.21|98.47|99.95|98.87|95.07|92.62|95.34|98.57|106.3|107.08|105.69|100.83|
||2026|104.23||||||||||||
|08132. (Bilgisayar Çevre Birimleri Ve Sarf Malzemeleri)|2023||||||||||||60.11|
||2024|62.9|64.77|68.24|68.66|68.03|68.27|67.74|68.82|86.76|90.49|90.74|93.42|
||2025|92.48|96.43|97.85|100.9|101.06|95.48|96.79|100.4|103.86|105.37|103.25|106.14|
||2026|109.78||||||||||||
|0814. (Ses Ve Görüntü Alma, Kaydetme Ve Çoğaltma Ekipmanları)|2023||||||||||||84.56|
||2024|90.62|92.67|93.77|97.1|92.9|87.2|88.45|88.45|87.89|89.7|92.8|95.19|
||2025|97.68|98.2|96.45|98.04|98.88|101.38|100.9|99.2|99.28|100.18|103.91|105.89|
||2026|107.93||||||||||||
|08140. (Ses Ve Görüntü Alma, Kaydetme Ve Çoğaltma Ekipmanları)|2023||||||||||||84.56|
||2024|90.62|92.67|93.77|97.1|92.9|87.2|88.45|88.45|87.89|89.7|92.8|95.19|
||2025|97.68|98.2|96.45|98.04|98.88|101.38|100.9|99.2|99.28|100.18|103.91|105.89|
||2026|107.93||||||||||||
|0815. (Kaydedilmemiş (Boş) Kayıt Ortamları)|2023||||||||||||66.6|
||2024|69.51|71.99|75.14|77.07|80.37|80.82|81.71|83.68|84.94|87.15|92.61|93.91|
||2025|93.91|94.73|96.03|96.64|97.83|99.44|100.26|99.52|100.19|99.81|103.67|117.97|
|08150. (Kaydedilmemiş (Boş) Kayıt Ortamları)|2023||||||||||||66.6|
||2024|69.51|71.99|75.14|77.07|80.37|80.82|81.71|83.68|84.94|87.15|92.61|93.91|
||2025|93.91|94.73|96.03|96.64|97.83|99.44|100.26|99.52|100.19|99.81|103.67|117.97|
|0819. (Diğer Bilgi Ve İletişim Ekipmanları Ve Aksesuarları)|2023||||||||||||83.19|
||2024|89.42|89.03|94.44|94.81|92.92|93.71|93.99|95.16|97.23|95.12|96.57|96.2|
||2025|101.58|98.73|97.44|99.53|98.96|102.15|103.76|100.99|99.93|92.51|97.71|106.7|
||2026|106.89||||||||||||
|08191. (Diğer Bilgi Ve İletişim Ekipmanları)|2023||||||||||||98.96|
||2024|99.61|97.23|106.47|104.94|100.57|102.87|103.38|106.3|109.09|99.78|101.47|99.92|
||2025|105.26|100.65|98.76|99.02|98.44|102.97|105.27|100.56|98.51|86.57|95.07|108.92|
||2026|112.01||||||||||||
|08192. (Diğer Bilgi Ve İletişim Aksesuarları)|2023||||||||||||67.74|
||2024|77.97|79.12|81.39|83.19|83.27|82.88|82.97|82.75|84.2|87.67|88.87|89.41|
||2025|94.87|95.22|95.05|100.45|99.91|100.66|101.02|101.78|102.54|103.34|102.51|102.65|
||2026|101.9||||||||||||
|083. (Bilgi Ve İletişim Hizmetleri)|2023||||||||||||60.69|
||2024|63.65|67.19|70.99|74.11|76.04|78.68|82.49|83.39|84.03|85.18|86.62|87.76|
||2025|90.9|94.02|94.6|94.96|94.92|96.55|101.42|103.37|104.59|105.91|107.67|111.08|
||2026|117.08||||||||||||
|0831. (Sabit İletişim Hizmetleri)|2023||||||||||||51.69|
||2024|56.49|57.4|59.33|59.57|61.23|62.75|74.29|75.54|76.74|78.31|81.44|84.08|
||2025|84.85|86.37|88.35|89.7|91.86|97.09|101.71|106.47|108.92|111.46|114.91|118.32|
|08310. (Sabit İletişim Hizmetleri)|2023||||||||||||51.69|
||2024|56.49|57.4|59.33|59.57|61.23|62.75|74.29|75.54|76.74|78.31|81.44|84.08|
||2025|84.85|86.37|88.35|89.7|91.86|97.09|101.71|106.47|108.92|111.46|114.91|118.32|
|0832. (Mobil İletişim Hizmetleri)|2023||||||||||||68.29|
||2024|69.13|73.81|79.12|82.41|83.35|86.62|90.89|90.14|89.1|89.15|90.12|90.51|
||2025|93.12|96.9|96.9|96.79|95.68|96.44|102.11|103.19|103.28|103.18|104.18|108.24|
||2026|114.95||||||||||||
|08320. (Mobil İletişim Hizmetleri)|2023||||||||||||68.29|
||2024|69.13|73.81|79.12|82.41|83.35|86.62|90.89|90.14|89.1|89.15|90.12|90.51|
||2025|93.12|96.9|96.9|96.79|95.68|96.44|102.11|103.19|103.28|103.18|104.18|108.24|
||2026|114.95||||||||||||
|0833. (İnternet Erişimi Sağlama Hizmetleri Ve Ağ Depolama Hizmetleri)|2023||||||||||||45.36|
||2024|47.91|50.27|52.81|55.79|59.06|61.99|65.99|69.16|72.23|76.06|78.96|81.99|
||2025|84.21|86.09|88.31|90.21|93.25|96.71|101.55|105.19|108.46|111.89|115.42|118.7|
||2026|121.64||||||||||||
|08330. (İnternet Erişim Hizmetleri)|2023||||||||||||45.36|
||2024|47.91|50.27|52.81|55.79|59.06|61.99|65.99|69.16|72.23|76.06|78.96|81.99|
||2025|84.21|86.09|88.31|90.21|93.25|96.71|101.55|105.19|108.46|111.89|115.42|118.7|
||2026|121.64||||||||||||
|0835. (Bilgi Ve İletişim Ekipmanlarının Onarımı Ve Kiralanması)|2023||||||||||||51.51|
||2024|60.58|64.02|65.38|66.24|67.82|68.9|71.01|73.58|74.56|76.24|77.76|79.4|
||2025|85.71|91.2|94.28|95.58|97.62|99.27|102.11|103.63|105.15|106.09|109.13|110.24|
||2026|115.77||||||||||||
|08350. (Bilgi Ve İletişim Ekipmanlarının Onarımı Ve Kiralanması)|2023||||||||||||51.51|
||2024|60.58|64.02|65.38|66.24|67.82|68.9|71.01|73.58|74.56|76.24|77.76|79.4|
||2025|85.71|91.2|94.28|95.58|97.62|99.27|102.11|103.63|105.15|106.09|109.13|110.24|
||2026|115.77||||||||||||
|0839. (Diğer Bilgi Ve İletişim Hizmetleri)|2023||||||||||||58.37|
||2024|69.93|70.43|70.48|74.21|78.17|77.48|78.01|81.06|84.27|84.27|84.32|84.25|
||2025|91.97|92.12|92.17|92.1|92.13|95.82|95.87|100.4|105.15|112.23|115.01|115.03|
||2026|122.48||||||||||||
|08392. (Görsel-İşitsel İçeriklerin Aboneliği, Kiralanması Ve Çevrim İçi Yayın Hizmetleri)|2023||||||||||||58.86|
||2024|70.47|70.81|70.81|74.64|78.71|77.89|78.29|81.4|84.66|84.64|84.62|84.54|
||2025|92.03|92.03|92.03|91.96|91.95|95.72|95.71|100.34|105.2|112.44|115.28|115.29|
||2026|122.76||||||||||||
|08399. (Diğer Bilgi Ve İletişim Hizmetleri)|2023||||||||||||40.71|
||2024|50.7|56.25|57.84|58.48|58.87|62.13|67.08|68.11|69.62|70.02|72.63|72.79|
||2025|89.38|95.49|97.41|97.79|99.34|99.72|102.39|102.76|103.17|103.86|104.23|104.44|
|09. (Eğlence, Dinlence, Spor Ve Kültür)|2023||||||||||||57.2|
||2024|62.17|65.11|68.34|70.43|72.76|74.5|76.16|78.91|81.12|81.22|83.31|84.56|
||2025|90.15|90.27|93.59|95.3|98.05|99.41|102.31|104.16|104.97|105.44|107.77|108.57|
||2026|114.39||||||||||||
|092. (Diğer Eğlence Malları)|2023||||||||||||72.49|
||2024|76.08|78.76|83.16|84.4|87.97|87.92|87.56|90.28|91.41|93.83|92.1|92.49|
||2025|93.54|94.87|96.34|95.57|97.52|100.27|103.62|103.31|102.79|103.2|104.58|104.38|
||2026|104.91||||||||||||
|0921. (Oyunlar, Oyuncaklar Ve Hobiler)|2023||||||||||||68.37|
||2024|71.44|74.57|79.78|80.51|84.87|84.76|83.48|86.67|89.05|92.4|90.5|91.34|
||2025|92.6|93.76|95.0|93.96|97.0|100.68|105.54|104.8|103.67|104.46|103.95|104.58|
||2026|107.19||||||||||||
|09211. (Video Oyunu Bilgisayarları, Oyun Konsolları, Oyun Uygulamaları Ve Yazılımları)|2024||||||||||||93.1|
||2025|94.39|94.17|94.16|94.6|94.05|100.03|107.99|107.18|103.53|103.16|102.86|103.86|
||2026|107.95||||||||||||
|09212. (Diğer Oyunlar, Oyuncaklar Ve Hobiler)|2023||||||||||||66.96|
||2024|69.97|73.04|78.14|78.86|83.13|83.02|81.77|84.89|87.22|90.51|88.64|89.46|
||2025|90.69|93.32|95.89|93.28|100.15|101.38|102.93|102.26|103.82|105.84|105.11|105.35|
||2026|107.68||||||||||||
|0922. (Spor, Kamp Ve Açık Hava Eğlence Ekipmanları)|2023||||||||||||81.56|
||2024|86.32|87.95|90.55|92.91|94.69|94.77|96.49|98.17|96.45|96.79|95.44|94.82|
||2025|95.46|97.12|99.07|98.83|98.58|99.44|99.72|100.28|101.01|100.66|105.87|103.97|
||2026|101.47||||||||||||
|09221. (Spor Ekipmanları)|2023||||||||||||81.56|
||2024|86.32|87.95|90.55|92.91|94.69|94.77|96.49|98.17|96.45|96.79|95.44|94.82|
||2025|95.46|97.12|99.07|98.83|98.58|99.44|99.72|100.28|101.01|100.66|105.87|103.97|
||2026|101.47||||||||||||
|093. (Bahçe Ürünleri Ve Ev Hayvanları)|2023||||||||||||67.96|
||2024|73.38|66.51|75.29|80.48|76.92|84.05|83.76|83.49|88.15|71.35|87.89|91.68|
||2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|0932. (Ev Hayvanları Ve Ev Hayvanları İçin Ürünler)|2023||||||||||||67.96|
||2024|73.38|66.51|75.29|80.48|76.92|84.05|83.76|83.49|88.15|71.35|87.89|91.68|
||2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|09322. (Ev Hayvanları Ve Diğer Evcil Hayvanlar İçin Ürünler)|2023||||||||||||67.96|
||2024|73.38|66.51|75.29|80.48|76.92|84.05|83.76|83.49|88.15|71.35|87.89|91.68|
||2025|98.2|80.18|99.3|94.26|103.46|102.1|106.38|105.99|100.38|91.61|107.15|111.0|
||2026|108.97||||||||||||
|094. (Eğlence Ve Dinlence Hizmetleri)|2023||||||||||||44.85|
||2024|51.86|54.36|55.72|57.54|59.5|61.24|63.35|68.59|72.38|74.58|75.68|76.3|
||2025|84.48|87.42|90.16|94.25|95.81|98.82|101.42|105.72|108.39|110.28|111.62|111.63|
||2026|123.32||||||||||||
|0945. (Veterinerlik Ve Ev Hayvanları İçin Diğer Hizmetler)|2023||||||||||||43.64|
||2024|57.55|60.5|61.34|61.78|62.02|62.38|66.47|70.23|70.79|70.99|71.2|71.63|
||2025|92.36|95.19|96.23|96.79|97.02|97.75|98.22|103.91|104.69|105.24|106.19|106.4|
||2026|124.91||||||||||||
|09450. (Veterinerlik Ve Ev Hayvanları İçin Diğer Hizmetler)|2023||||||||||||43.64|
||2024|57.55|60.5|61.34|61.78|62.02|62.38|66.47|70.23|70.79|70.99|71.2|71.63|
||2025|92.36|95.19|96.23|96.79|97.02|97.75|98.22|103.91|104.69|105.24|106.19|106.4|
||2026|124.91||||||||||||
|0946. (Eğlence, Dinlence Ve Spor Hizmetleri)|2023||||||||||||45.54|
||2024|52.12|55.05|56.74|59.07|61.61|63.51|65.6|68.28|73.18|76.05|77.46|78.22|
||2025|86.06|89.37|90.56|92.95|94.85|97.27|100.42|105.16|108.36|110.63|112.19|112.19|
||2026|122.76||||||||||||
|09461. (Eğlence Ve Dinlence Hizmetleri)|2025||||||||||||100.0|
||2026|112.73||||||||||||
|09462. (Spor Faaliyetlerine Katılım)|2023||||||||||||45.52|
||2024|52.44|55.68|57.54|59.95|62.67|64.43|66.26|67.81|72.39|75.4|77.26|77.9|
||2025|86.8|90.08|91.35|94.18|96.2|98.27|101.03|103.77|106.97|109.16|110.79|111.4|
||2026|120.75||||||||||||
|09463. (Spor Faaliyetlerine Seyir Amaçlı Katılım)|2023||||||||||||45.39|
||2024|46.34|44.2|43.05|43.98|43.69|47.9|54.13|75.31|85.38|86.07|79.97|82.82|
||2025|75.55|79.22|79.32|75.5|75.56|83.08|91.76|125.01|128.11|131.53|132.04|123.32|
|0947. (Şans Oyunları)|2023||||||||||||39.56|
||2024|44.38|44.38|44.38|44.38|44.38|46.03|47.01|65.15|65.15|65.15|65.15|65.15|
||2025|67.47|67.72|83.18|102.15|102.15|111.05|111.05|111.05|111.05|111.05|111.05|111.05|
||2026|118.23||||||||||||
|09470. (Şans Oyunları)|2023||||||||||||39.56|
||2024|44.38|44.38|44.38|44.38|44.38|46.03|47.01|65.15|65.15|65.15|65.15|65.15|
||2025|67.47|67.72|83.18|102.15|102.15|111.05|111.05|111.05|111.05|111.05|111.05|111.05|
||2026|118.23||||||||||||
|095. (Kültürel Mallar)|2023||||||||||||71.77|
||2024|74.47|78.61|83.62|85.25|87.9|88.73|89.03|91.38|92.68|93.53|93.64|94.08|
||2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|0951. (Müzik Enstrümanları)|2023||||||||||||71.77|
||2024|74.47|78.61|83.62|85.25|87.9|88.73|89.03|91.38|92.68|93.53|93.64|94.08|
||2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|09510. (Müzik Enstrümanları)|2023||||||||||||71.77|
||2024|74.47|78.61|83.62|85.25|87.9|88.73|89.03|91.38|92.68|93.53|93.64|94.08|
||2025|95.07|96.22|97.49|98.46|99.41|100.49|100.69|100.69|102.42|102.91|103.12|103.03|
|096. (Kültürel Hizmetler)|2023||||||||||||50.16|
||2024|54.41|56.81|59.61|62.77|66.32|68.0|70.42|72.35|74.23|75.11|76.65|77.35|
||2025|88.05|91.42|92.49|96.03|99.95|101.06|102.93|104.02|105.11|105.6|106.24|107.12|
||2026|111.11||||||||||||
|0961. (Sinema, Tiyatro Ve Konser Salonlarında Verilen Hizmetler)|2023||||||||||||51.62|
||2024|56.18|59.94|62.77|65.6|66.28|67.93|69.47|69.74|70.8|77.4|79.46|82.48|
||2025|87.44|90.05|90.83|97.01|98.97|100.75|102.13|102.53|103.21|106.35|109.05|111.67|
||2026|113.37||||||||||||
|09610. (Sinema, Tiyatro Ve Konser Salonlarında Verilen Hizmetler)|2023||||||||||||51.62|
||2024|56.18|59.94|62.77|65.6|66.28|67.93|69.47|69.74|70.8|77.4|79.46|82.48|
||2025|87.44|90.05|90.83|97.01|98.97|100.75|102.13|102.53|103.21|106.35|109.05|111.67|
||2026|113.37||||||||||||
|0963. (Fotoğrafçılık Hizmetleri)|2023||||||||||||43.51|
||2024|54.38|57.28|59.35|60.72|63.01|64.99|67.6|70.97|73.65|75.29|76.63|78.01|
||2025|86.39|91.59|92.86|94.4|96.98|98.67|101.52|104.29|106.83|107.97|108.75|109.74|
|09630. (Fotoğrafçılık Hizmetleri)|2023||||||||||||43.51|
||2024|54.38|57.28|59.35|60.72|63.01|64.99|67.6|70.97|73.65|75.29|76.63|78.01|
||2025|86.39|91.59|92.86|94.4|96.98|98.67|101.52|104.29|106.83|107.97|108.75|109.74|
|0969. (Diğer Kültürel Hizmetler)|2023||||||||||||50.62|
||2024|53.91|56.04|58.92|62.35|66.48|68.12|70.64|72.62|74.5|74.42|75.9|76.17|
||2025|88.41|91.68|92.8|96.05|100.57|101.46|103.3|104.29|105.26|105.11|105.29|105.77|
||2026|111.5||||||||||||
|09690. (Diğer Kültürel Hizmetler)|2023||||||||||||50.62|
